"name","type","lat","lon","color"
"Kothrud","metro",18.503889,73.807673,"aqua"
"Shivajinagar","metro",18.530475,73.848571,"purple"
"Phugewadi","metro",18.591106,73.831147,"purple"
"Balewadi Stadium","metro",18.579709,73.761542,""
"Doehler India","metro",18.588102,73.702895,""
"Range Hills","metro",18.550287,73.845807,"purple"
"Megapolis Circle","metro",18.57922,73.688,""
"Dapodi","metro",18.583765,73.833766,"purple"
"PMC Bhavan","metro",18.522744,73.85335,"aqua"
"Infosys","metro",18.594195,73.709223,""
"Ruby Hall Clinic","metro",18.532718,73.877749,"aqua"
"District Court (Aqua Line)","metro",18.52672,73.857748,"aqua"
"Quadron","metro",18.584018,73.694818,""
"Sant Tukaram Nagar","metro",18.614525,73.815746,"purple"
"Agriculture College","metro",18.533006,73.841487,""
"Wipro","metro",18.59659,73.717161,""
"Kasarwadi","metro",18.59962,73.827264,"purple"
"RBI","metro",18.536371,73.836692,""
"Wakad Chowk","metro",18.590299,73.757559,""
"Nashik Phata","metro",18.609303,73.820097,"purple"
"Kothrud Bus Depot","metro",18.508126,73.792952,""
"Swargate","metro",18.499745,73.85746,"purple"
"Bopodi","metro",18.569661,73.838103,"purple"
"Vanaz","metro",18.507185,73.805195,"aqua"
"Anandnagar","metro",18.509572,73.814075,"aqua"
"Paud Phata","metro",18.508885,73.822144,"aqua"
"SNDT College","metro",18.507357,73.828782,"aqua"
"Garware College","metro",18.511989,73.83805,"aqua"
"Pimpri Chinchwad Municipal Corporation (PCMC)","metro",18.629319,73.803286,"purple"
"Shivaji Nagar","metro",18.532172,73.84966,"purple"
"District Court (Purple Line)","metro",18.526786,73.856899,"purple"
"Chhatrapati Sambhaji Udyan","metro",18.520081,73.847383,"aqua"
"Deccan Gymkhana","metro",18.516448,73.844446,"aqua"
"Bund Garden","metro",18.540593,73.883439,"aqua"
"Yerwada","metro",18.545317,73.886688,"aqua"
"Kalyani Nagar","metro",18.544481,73.905698,"aqua"
"Ramwadi","metro",18.557028,73.908563,"aqua"
"Kasba Peth कसबा पेठ","metro",18.521375,73.859623,"purple"
"District Court (Pink Line)","metro",18.528328,73.856089,"purple"
"Yervada Metro Station","metro",18.545278,73.886533,"aqua"
"Shivaji Nagar Railway Station","metro",18.532398,73.851385,"purple"
"District Court Metro Station","metro",18.526713,73.857569,"aqua"
"Khadki","metro",18.562262,73.842083,"purple"
"Savitribal Phule Pune University","metro",18.542347,73.827173,""
"YASHADA","metro",18.546325,73.819665,""
"Krushi Anusandhan","metro",18.550269,73.808227,""
"Baner","metro",18.554964,73.797938,""
"Baner Gaon","metro",18.559196,73.790598,""
"Balewadi Phata","metro",18.564186,73.779766,""
"High Street","metro",18.570512,73.774838,""
"NICMAR","metro",18.575034,73.766062,""
"Jakat Naka","metro",18.590967,73.7463,""
