"name","type","lat","lon","color"
"Madavara","metro",13.057421,77.472806,"#00a84f"
"Chikkabidarakallu","metro",13.052362,77.487915,"#00a84f"
"Manjunathanagara","metro",13.05009,77.494446,"#00a84f"
"Nagawara (Proposed)","metro",13.042279,77.624858,"#e75480"
"Jayadeva Hospital","metro",12.916731,77.599966,"#e75480"
"Benniganahalli","metro",12.996496,77.668479,"#e542de"
"Whitefield (Kadugodi)","metro",12.995743,77.757949,"#e542de"
"Hopefarm Channasandra","metro",12.987343,77.753803,"#e542de"
"Pattandur Agrahara","metro",12.987639,77.737772,"#e542de"
"Sri Sathya Sai Hospital","metro",12.981195,77.727536,"#e542de"
"Nallurahalli","metro",12.976641,77.724885,"#e542de"
"Kundalahalli","metro",12.977594,77.715559,"#e542de"
"Seetharampalya","metro",12.980856,77.708785,"#e542de"
"Hoodi","metro",12.988803,77.711326,"#e542de"
"Garudacharpalya","metro",12.99345,77.703677,"#e542de"
"Singayyanapalya","metro",12.996545,77.692718,"#e542de"
"Krishnarajapura","metro",12.999902,77.67767,"#e542de"
"Delta Electronics Bommasandra","metro",12.819394,77.688345,"#ffd500"
"Huskur Road","metro",12.839157,77.677372,"#ffd500"
"Infosys Foundation Konappana Agrahara","metro",12.846413,77.671166,"#ffd500"
"Electronic City","metro",12.856505,77.663523,"#ffd500"
"Beratena Agrahara","metro",12.863867,77.657862,"#ffd500"
"Hosa Road","metro",12.870749,77.652447,"#ffd500"
"Singasandra","metro",12.880818,77.644846,"#ffd500"
"Kudlu Gate","metro",12.889926,77.639216,"#ffd500"
"Hongasandra","metro",12.901695,77.631986,"#ffd500"
"Bommanahalli","metro",12.910616,77.626478,"#ffd500"
"Central Silk Board","metro",12.916582,77.620567,"#ffd500"
"BTM Layout","metro",12.916588,77.608118,"#ffd500"
"Ragigudda","metro",12.917081,77.588302,"#ffd500"
"Dasarahalli","metro",13.043261,77.512553,"#00a84f"
"Jalahalli","metro",13.03941,77.519735,"#00a84f"
"Srirampura","metro",12.996525,77.563196,"#e542de"
"Baiyappanahalli","metro",12.990759,77.652361,"#e542de"
"Swami Vivekananda Road","metro",12.985931,77.644897,"#e542de"
"Indiranagar","metro",12.978333,77.638661,"#e542de"
"Halasuru","metro",12.976499,77.626686,"#e542de"
"Trinity","metro",12.973022,77.61702,"#e542de"
"Mahatma Gandhi Road","metro",12.975526,77.60679,"#e542de"
"Cubbon Park","metro",12.980958,77.597576,"#e542de"
"Dr. B. R. Ambedkar Station, Vidhana Soudha","metro",12.978742,77.591639,"#e542de"
"Sir M. Visvesvaraya Stn., Central College","metro",12.97452,77.58422,"#e542de"
"Nadaprabhu Kempegowda Station, Majestic","metro",12.975708,77.572876,"#e542de"
"Krantivira Sangolli Rayanna Railway Station","metro",12.975877,77.565377,"#e542de"
"Magadi Road","metro",12.975632,77.555352,"#e542de"
"Sri Balagangadharanatha Swamiji Station, Hosahalli","metro",12.974293,77.545621,"#e542de"
"Vijayanagar","metro",12.970956,77.537404,"#e542de"
"Attiguppe","metro",12.961893,77.533579,"#e542de"
"Deepanjali Nagar","metro",12.952058,77.537012,"#e542de"
"Mysore Road","metro",12.946718,77.530159,"#e542de"
"Mantri Square Sampige Road","metro",12.990463,77.570729,"#00a84f"
"Mahakavi Kuvempu Road","metro",12.99853,77.556899,"#00a84f"
"Rajajinagar","metro",13.000525,77.549657,"#00a84f"
"Mahalakshmi","metro",13.008047,77.548807,"#00a84f"
"Sandal Soap Factory","metro",13.014654,77.553984,"#00a84f"
"Peenya","metro",13.033019,77.533201,"#00a84f"
"Peenya Industry","metro",13.036318,77.525492,"#00a84f"
"Yelachenahalli","metro",12.89605,77.570119,"#00a84f"
"Jaya Prakash Nagar","metro",12.907475,77.573128,"#00a84f"
"Banashankari","metro",12.915221,77.573598,"#00a84f"
"Rashtreeya Vidyalaya Road","metro",12.921581,77.580202,"#00a84f"
"Jayanagar","metro",12.929507,77.580144,"#00a84f"
"South End Circle","metro",12.938257,77.580056,"#00a84f"
"Lalbagh","metro",12.946526,77.580016,"#00a84f"
"National College","metro",12.950527,77.57369,"#00a84f"
"Krishna Rajendra Market","metro",12.960879,77.574658,"#00a84f"
"Chickpete","metro",12.966897,77.574557,"#00a84f"
"Kengeri","metro",12.907928,77.476575,"#e542de"
"Jayadeva Interchange (u/c)","metro",12.916733,77.599976,"#e75480"
"Jnanabharathi","metro",12.935436,77.512406,"#e542de"
"Pantharapalya - Nayandahalli","metro",12.941671,77.525117,"#e542de"
"Kengeri Bus Terminal","metro",12.914689,77.487856,"#e542de"
"Rajarajeshwari Nagar","metro",12.9366,77.519679,"#e542de"
"Pattanagere","metro",12.92425,77.498351,"#e542de"
"Challaghatta","metro",12.897354,77.461288,"#e542de"
"Silk Institute","metro",12.86173,77.529955,"#00a84f"
"Thalaghattapura","metro",12.87141,77.538396,"#00a84f"
"Vajarahalli","metro",12.877437,77.544741,"#00a84f"
"Doddakallasandra","metro",12.884643,77.552755,"#00a84f"
"Konanakunte Cross","metro",12.888967,77.562667,"#00a84f"
"Biocon Hebbagodi","metro",12.829033,77.681374,"#ffd500"
"Nagasandra","metro",13.047954,77.500142,"#00a84f"
"Yeshwantpur","metro",13.023268,77.549875,"#00a84f"
"Kadugodi Tree Park","metro",12.98565,77.747012,"#e542de"
"Mysore City Bus Stand","bus",12.307989,76.653633,""
"Chikkamaranahalli","bus",13.036222,77.566348,""
"Uttarahalli Bus Station","bus",12.905273,77.543288,""
"Jalahalli Village","bus",13.04523,77.547996,""
"Channarayapatna Bus Station","bus",12.898085,76.391215,""
"Bus stand","bus",12.456739,75.960191,""
"Srirangapatna","bus",12.42079,76.691512,""
"Kamalapura Bus Stand","bus",15.305775,76.474029,""
"Maralawadi","bus",12.612133,77.525212,""
"Harohalli Bus Stand","bus",12.680082,77.469908,""
"Srinagar Bus Station","bus",12.944438,77.554664,""
"Hosapete Bus Stand","bus",15.275187,76.389262,""
"Private Bus Stand","bus",12.318726,76.64828,""
"Krishnarajanagara Bus Stand","bus",12.438599,76.381234,""
"Bus Stand","bus",12.785952,76.245132,""
"Mangammanapalya","bus",12.907083,77.635161,""
"Hosa Hagaribommanahalli Bus Station","bus",15.044509,76.209524,""
"BMTC","bus",13.036732,77.523703,""
"Harihar KSRTC bus station","bus",14.514736,75.810133,""
"Iritty","bus",11.989648,75.678415,""
"Kuvempunagar 2nd Stage","bus",13.073049,77.541338,""
"Horanadu","bus",13.275973,75.344407,""
