"name","type","lat","lon","color"
"Mannadi","metro",13.095369,80.286079,"#3281c4"
"அரசினர் தோட்டம்","metro",13.069713,80.273004,"#3281c4"
"Alandur","metro",13.004256,80.201453,"#53b848"
"Saint Thomas Mount","metro",12.995,80.198582,"#53b848"
"சென்னை விமான நிலையம்","metro",12.980773,80.164183,"#3281c4"
"மீனம்பாக்கம்","metro",12.987639,80.17647,"#3281c4"
"Nanganallur Road","metro",12.999848,80.194003,"#3281c4"
"Ekkattuthangal","metro",13.016922,80.205424,"#53b848"
"Ashok Nagar","metro",13.035477,80.211107,"#53b848"
"Vadapalani","metro",13.050937,80.212065,"#53b848"
"Arumbakkam","metro",13.061675,80.211656,"#53b848"
"சின்னமலை","metro",13.014623,80.224168,"#3281c4"
"கிண்டி","metro",13.009231,80.213095,"#3281c4"
"CMBT","metro",13.06852,80.203984,"#53b848"
"Koyambedu","metro",13.07345,80.194836,"#53b848"
"Pachaiyappa's College","metro",13.075547,80.232852,"#53b848"
"Kilpauk","metro",13.077637,80.242619,"#53b848"
"Nehru Park","metro",13.078784,80.250473,"#53b848"
"Egmore","metro",13.080281,80.263055,"#53b848"
"சைதாப்பேட்டை","metro",13.023939,80.228092,"#3281c4"
"நந்தனம்","metro",13.031681,80.241193,"#3281c4"
"தேனாம்பேட்டை","metro",13.036808,80.246455,"#3281c4"
"ஆயிரம் விளக்கு","metro",13.058516,80.258783,"#3281c4"
"ஏ ஜி டி.எம்.எஸ்","metro",13.045862,80.248303,"#3281c4"
"எல் ஐ சி","metro",13.064372,80.265846,"#3281c4"
"High Court","metro",13.087268,80.284984,"#3281c4"
"Washermanpet","metro",13.107847,80.280949,"#3281c4"
"Meenambakkam","metro",12.987673,80.176479,"#3281c4"
"Chennai International Airport","metro",12.980809,80.164203,"#3281c4"
"Central Metro","metro",13.081688,80.273922,"#3281c4"
"வண்ணாரப்பேட்டை","metro",13.107959,80.281025,"#3281c4"
"Sir Theagaraya College","metro",13.115754,80.284744,"#3281c4"
"Tondiarpet","metro",13.124528,80.288856,"#3281c4"
"Wimco Nagar","metro",13.17929,80.307344,"#3281c4"
"Thiruvottriyur","metro",13.171803,80.305269,"#3281c4"
"Kaladipet","metro",13.150667,80.299393,"#3281c4"
"சுங்கச்சாவடி","metro",13.143134,80.296329,"#3281c4"
"புது வண்ணாரப்பேட்டை","metro",13.134519,80.293001,"#3281c4"
"Thiruvottiyur Theradi","metro",13.160215,80.302448,"#3281c4"
"Wimco Nagar Depot","metro",13.183971,80.308994,"#3281c4"
"Regional Transport Office,Meenambakkam","metro",12.999319,80.200989,""
"Porur Junction","metro",13.035861,80.156761,"#FFDF00"
"Poonamallee Bypass","metro",13.048021,80.081814,"#FFDF00"
"Thelliyaragaram","metro",13.036864,80.141862,"#FFDF00"
"Porur Bypass","metro",13.036226,80.149971,"#FFDF00"
"Kumananchavadi Metro","metro",13.044683,80.118909,"#FFDF00"
"Poonamallee Government Hospital Metro","metro",13.049712,80.101998,"#FFDF00"
"Poonamallee Bus Stand Metro","metro",13.050922,80.094923,"#FFDF00"
"Kattupakkam","metro",13.041979,80.125382,"#FFDF00"
"Karayanchavadi Metro","metro",13.046711,80.110905,"#FFDF00"
"Iyappanthangal Metro","metro",13.038183,80.134988,"#FFDF00"
"மைலாப்பூர்","bus",13.033434,80.267946,""
"Foreshore Estate Bus Terminus","bus",13.022402,80.276327,""
"V House Bus Terminus","bus",13.051211,80.277839,""
"Poonamallee MTC Terminus","bus",13.05116,80.094955,""
"GingerBread","bus",13.080216,80.173696,""
"Nanganallur Bus Terminus","bus",12.977807,80.181248,""
"Puratchi Thalaivar Dr. M.G.R Bus Terminus","bus",13.06846,80.205125,""
"Ramapuram Bus Stand","bus",13.034805,80.173857,""
"Taramani","bus",12.985477,80.240563,""
"Saligramam Bus Terminus","bus",13.053339,80.197083,""
"Perambur MTC Terminus","bus",13.108569,80.248252,""
"ICF MTC Terminus","bus",13.100243,80.214714,""
"Minjur MTC Terminus","bus",13.28201,80.253705,""
"Manali MTC Terminus","bus",13.169977,80.257159,""
"மாதவரம் மாநகர பேருந்து முனையம்","bus",13.152368,80.228345,""
"Kundrathur Temple MTC Terminus","bus",12.987217,80.093238,""
"Hasthinapuram MTC Terminus","bus",12.940444,80.150586,""
"Tambaram MTC Terminus","bus",12.925339,80.116745,""
"Tambaram East MTC Terminus","bus",12.923598,80.117091,""
"பழவேற்காடு","bus",13.417722,80.313942,""
"Ayanavaram MTC Terminus","bus",13.098591,80.242004,""
"மகாபலிபுரம்","bus",12.617473,80.193882,""
"Erumaivettipalayam Bus Stand","bus",13.242455,80.120113,""
"Puzhuthivakkam Bus Stand","bus",12.97398,80.202931,""
"Ayyapanthangal","bus",13.037793,80.134942,""
"Ennore MTC Terminus","bus",13.214722,80.320837,""
"KK Nagar West MTC Terminus","bus",13.044159,80.193303,""
"Kannagi Nagar MTCTerminus","bus",12.925654,80.238308,""
"NGO Colony Bus Terminus","bus",12.994789,80.206816,""
"Thiruverkadu MTC Bus Terminus","bus",13.069585,80.124022,""
"Semmanchery MTC Terminus","bus",12.874697,80.209765,""
"Elango Nagar MTC Terminus","bus",13.090602,80.185474,""
"Parvathi Nagar MTC Terminus","bus",13.145751,80.250441,""
"Tambaram Bus Stand","bus",12.927719,80.118742,""
"Madipakkam Bus Stand","bus",12.962861,80.198284,""
"Vinayakapuram","bus",13.139863,80.20568,""
"Padappai Bus Stand","bus",12.886724,80.021501,""
"Bus Stand Kovalam","bus",12.786607,80.250199,""
"Bus Stand","bus",12.611072,80.056511,""
"Guduvancheri MTC Terminus","bus",12.844796,80.061804,""
"Avadi Market","bus",13.116052,80.106263,""
"KK Nagar MTC Terminus","bus",13.035422,80.205717,""
"IOC MTC Terminus","bus",13.139069,80.282031,""
"Thirovttriyur MTC Terminus","bus",13.172164,80.305091,""
"Thiruporur Bus Stand","bus",12.722079,80.187714,""
"Mathur MMDA","bus",13.171374,80.247506,""
"Medavakkam Bus Terminus","bus",12.919728,80.182261,""
"Valluvar Nagar Bus Stop","bus",12.893383,80.183493,""
"Chembarambakkam","bus",13.031804,80.055528,""
"Guindy Bus Stand","bus",13.009059,80.210793,""
"Perambakkam Bus Depo","bus",13.037318,79.813589,""
"Mogappair West Bus Terminus","bus",13.082209,80.170411,""
"SRM Travels","bus",13.071098,80.202996,""
"Tiruninravur Bus Stand","bus",13.124774,80.032386,""
"தாம்பரம் சானடோரியம் பேருந்து நிலையம்","bus",12.937195,80.127285,""
"Pattur Bus Stand","bus",13.023185,80.118511,""
"Anna Nagar West","bus",13.093755,80.198494,""
"Ambattur O.T","bus",13.119713,80.15001,""
"Anakaputhur Bus Stand","bus",12.985252,80.12308,""
"Perumbakkam Bus Depot","bus",12.886663,80.209688,""
"APSRTC Bus Station , Nagalapuram","bus",13.390804,79.793688,""
"UTHUKOTTAI BUS STAND","bus",13.334483,79.893781,""
"APSRTC Bus Station , Satyavedu","bus",13.434839,79.954101,""
"Madhavaram Mofussil Bus Terminus","bus",13.146104,80.2217,""
"PERIYAPALAYAM BUS STAND","bus",13.308127,80.046225,""
"Red Hills MTC Bus Terminus","bus",13.192939,80.183987,""
"Red Hills Bypass Bus Stop","bus",13.196737,80.181051,""
"Madhavarm APSRTC , TNSTC Bus Terminus","bus",13.145566,80.221364,""
"Janappanchataram Bus Stop","bus",13.262437,80.154631,""
"Koyambedu Mofussil Bus Terminal","bus",13.065835,80.205601,""
"Bus to Mamallapuram","bus",13.06852,80.204936,""
"Besant Nagar MTC Terminus","bus",13.000348,80.265776,""
"Teachers Colony","bus",13.129995,80.202191,""
"Bus Stop","bus",13.188672,80.314964,""
"Dasukuppam Bus Stop","bus",13.337805,79.89105,""
"Broadway Bus Terminus","bus",13.086923,80.28417,""
"Mandaveli Bus Terminus","bus",13.026626,80.265738,""
"Thyagaraya Nagar Bus Terminus","bus",13.034561,80.23008,""
"Minjur Bus Stand","bus",13.282039,80.253714,""
