"name","type","lat","lon","color"
"Mansarovar","metro",19.016434,73.080655,""
"Khandeshwar","metro",19.00735,73.095283,""
"Chembur","metro",19.05413,72.892806,""
"Dahanukarwadi","metro",19.206232,72.834807,"yellow"
"Kandivali (West)","metro",19.214004,72.837305,"yellow"
"Borivali (West)","metro",19.231392,72.840861,"yellow"
"Mandapeshwar - I.C. Colony","metro",19.249586,72.8458,"yellow"
"Kandarpada","metro",19.256634,72.850504,"yellow"
"Anand Nagar","metro",19.257209,72.866349,"yellow"
"Diamond Garden","metro",19.051719,72.901838,"yellow"
"Shimpoli","metro",19.222833,72.840943,"yellow"
"Eksar","metro",19.240377,72.843446,"yellow"
"CSMI Airport International T2","metro",19.102334,72.874469,"aqua"
"Bandra Kurla Complex (BKC)","metro",19.060663,72.85468,"aqua"
"SEEPZ","metro",19.125999,72.873727,"aqua"
"MIDC - Andheri","metro",19.117354,72.873597,"aqua"
"Marol Naka (Line 3)","metro",19.108504,72.878578,"aqua"
"Andheri L1","metro",19.120564,72.848843,"blue"
"Kapurbawdi Station","metro",19.224143,72.977424,"green"
"Gaimukh Station","metro",19.284435,72.946808,"green"
"Gowniwada Station","metro",19.276747,72.958227,"green"
"Lokmanya Nagar Bus Depot","metro",19.208858,72.95146,""
"Azad Nagar Bus Stop","metro",19.241037,72.980999,""
"Subhash Chandra Bose Ground","metro",19.294238,72.843129,""
"Airport Colony Station","metro",19.105818,72.854017,""
"Anik Nagar Bus Depot Station","metro",19.045827,72.878634,"green"
"Manpada","metro",19.235478,72.971299,""
"Dahisar (East) [Line 7]","metro",19.250698,72.866666,"red"
"Dahisar (East) [Line 2]","metro",19.251733,72.867332,"yellow"
"Aarey","metro",19.169324,72.858792,"red"
"Dindoshi","metro",19.179758,72.858298,"red"
"Kurar","metro",19.1873,72.858455,"red"
"Akurli","metro",19.198159,72.86049,"red"
"Poisar","metro",19.203517,72.863104,"red"
"Magathane","metro",19.216797,72.866801,"red"
"Devipada","metro",19.224036,72.864325,"red"
"Rashtriya Udyan","metro",19.234614,72.863137,"red"
"Ovaripada","metro",19.243149,72.864138,"red"
"Shahid Bhagat Singh Garden","metro",19.294812,72.849362,""
"Gundavali","metro",19.114513,72.855156,"red"
"Mogra","metro",19.128436,72.855456,"red"
"Jogeshwari (East)","metro",19.142945,72.855185,"red"
"Goregaon (East)","metro",19.152449,72.856597,"red"
"Andheri (West)","metro",19.129134,72.831431,"yellow"
"Lower Oshiwara","metro",19.140698,72.831714,"yellow"
"Oshiwara","metro",19.146035,72.833952,"yellow"
"Goregaon (West)","metro",19.153024,72.835666,"yellow"
"Lower Malad","metro",19.173098,72.83648,"yellow"
"Malad (West)","metro",19.185285,72.835861,"yellow"
"Valnai-Meeth Chowky","metro",19.196829,72.833775,"yellow"
"CBD Belapur","metro",19.0206,73.040266,"#77248B"
"RBI Colony","metro",19.022985,73.047943,"#77248B"
"Bandra Colony","metro",19.069963,72.84936,"aqua"
"Santacruz","metro",19.079289,72.847118,"aqua"
"CSMI Airport Domestic T1","metro",19.093899,72.853577,"aqua"
"Sahar Road","metro",19.102196,72.865236,"aqua"
"Bangur Nagar","metro",19.162472,72.834871,"yellow"
"Dadar","metro",19.023624,72.839221,"aqua"
"Shitala Devi Mandir","metro",19.038464,72.841965,"aqua"
"Dharavi","metro",19.046261,72.849741,"aqua"
"Acharya Atre Chowk","metro",18.99782,72.81772,"aqua"
"Worli","metro",19.008606,72.819274,"aqua"
"Siddhivinayak Temple","metro",19.015894,72.83092,"aqua"
"Jagannath Shankar Sheth Metro","metro",18.969992,72.821179,"aqua"
"Mahalaxmi","metro",18.979467,72.825401,"aqua"
"Science Centre","metro",18.990895,72.821352,"aqua"
"Cuffe Parade","metro",18.913569,72.820715,"aqua"
"Vidhan Bhavan","metro",18.924781,72.825493,"aqua"
"Churchgate","metro",18.931495,72.826939,"aqua"
"Hutatma Chowk","metro",18.934185,72.832504,"aqua"
