"name","type","lat","lon","color"
"GSRTC Central Bus Station","bus",22.291047,70.802181,""
"Rajkot Bus station","bus",22.291148,70.802141,""
"New Rajkot bus stop","bus",22.29883,70.798367,""
"Rajkot New Bus Station","bus",22.295499,70.79895,""
"Raiya Telephone Ex. BRTS Station","bus",22.293883,70.770597,""
"Goverdhan Chowk","bus",22.251569,70.790638,""
"Atal Sarovar Smart City","bus",22.319396,70.734449,""
"Paddhari","railway",22.429796,70.605756,""
"Bhaktinagar","railway",22.281768,70.793096,""
"Bileshwar","railway",22.382441,70.830995,""
"Kanakot","railway",22.488256,70.876938,""
"Ribada","railway",22.126047,70.801336,""
"Khanderi","railway",22.361597,70.717289,""
"Khorana","railway",22.419552,70.839188,""
"Rajkot Junction","railway",22.312431,70.80255,""
"Rajkot Airport","airport",22.309223,70.779529,""
