"name","type","lat","lon","color"
"Kalupur Railway Station","metro",23.024691,72.603145,"blue"
"Kankaria East","metro",23.015457,72.607002,"blue"
"Shahpur Station","metro",23.03921,72.581033,"blue"
"Gheekanta","metro",23.028794,72.586775,"blue"
"Juna Koba","metro",23.141972,72.638612,"#FFFF00"
"Koba Circle","metro",23.132251,72.631042,"#FFFF00"
"Narmada Canal","metro",23.125146,72.622098,"#FFFF00"
"Tapovan Circle","metro",23.120127,72.615799,"#FFFF00"
"Vishwakarma College","metro",23.1142,72.608386,"#FFFF00"
"Koteshwar Road","metro",23.103111,72.602133,"#FFFF00"
"Raysan","metro",23.166395,72.648325,"#FFFF00"
"Randesan","metro",23.179084,72.64729,"#FFFF00"
"Dholakuva Circle","metro",23.185945,72.64332,"#FFFF00"
"Infocity","metro",23.192257,72.639713,"#FFFF00"
"Sector-1","metro",23.204908,72.643152,"#FFFF00"
"GNLU","metro",23.154472,72.647469,"violet"
"GIFT City","metro",23.153355,72.685554,"violet"
"AEC","metro",23.075109,72.593291,"red"
"Sabarmati","metro",23.08563,72.592206,"red"
"Motera Stadium","metro",23.096773,72.596692,"red"
"Thaltej","metro",23.049748,72.516015,"blue"
"Thaltej Gam","metro",23.050206,72.507012,"blue"
"PDPU","metro",23.154864,72.661212,"violet"
"Sachivalaya","metro",23.215069,72.658751,"#FFFF00"
"Sector-10A","metro",23.211484,72.650193,"#FFFF00"
"Akshardham","metro",23.223677,72.664182,"#FFFF00"
"Juna Sachivalaya","metro",23.228926,72.659415,"#FFFF00"
"Sector-16","metro",23.233883,72.650166,"#FFFF00"
"Sector-24","metro",23.238508,72.641478,"#FFFF00"
"Mahatma Mandir","metro",23.233941,72.633871,"#FFFF00"
"Paldi Bus Stand","bus",23.014073,72.564588,""
"D-cabin","bus",23.102363,72.570265,""
"Vallabhpark","bus",23.101524,72.576519,""
"Navrangpura","bus",23.035588,72.564185,""
"Maninagar Bus stop","bus",22.99746,72.625965,""
"Maninagar Railway Station","bus",22.9987,72.610944,""
"Naroda Gam","bus",23.077096,72.655807,""
"Ahmedabad","bus",23.021873,72.59849,""
"Lal Darwaja AMTS Bus Stop","bus",23.02419,72.578556,""
"Dehgam Bus Station","bus",23.171016,72.82055,""
"Kankaria Telephone exchange","bus",23.002425,72.592835,""
"Ghuma BRTS terminal","bus",23.030936,72.448328,""
"AMTS Ghuma Bus terminal","bus",23.030556,72.450188,""
"Bopal gam","bus",23.034011,72.464107,""
"Sterling City","bus",23.032322,72.469152,""
"Gita Mandir Bus Station","bus",23.015485,72.591852,""
"Gujarat State Road Transport Corporation | Bus Station | Gita Mandir","bus",23.014104,72.59246,""
"Nava vadej bus stop","bus",23.055084,72.571099,""
"Gandhinagar Bus Stop","bus",23.216783,72.642163,""
"Helmet Cross Roads Bus Station","bus",23.044418,72.542295,""
"Vasna Bus Station","bus",23.002228,72.547635,""
"Parasnagar BRTS stand","bus",23.055545,72.543231,""
"Sola cross road BRTS stand","bus",23.052742,72.546803,""
"Ranip GSRTC","bus",23.068384,72.57579,""
"Shivranjani","bus",23.024304,72.531295,""
"Iskcon Cross Road BRTS","bus",23.027152,72.508523,""
"Ashok Vatika BRTS","bus",23.027939,72.495702,""
"Jaintilal Park BRTS","bus",23.028425,72.49101,""
"Swagat Bunglows BRTS","bus",23.027883,72.485885,""
"Ambli Gam BRTS","bus",23.026462,72.482193,""
"Bopal Appoach BRTS","bus",23.025848,72.477914,""
"Naroda","railway",23.08541,72.658095,""
"Vastrapur","railway",23.007906,72.517437,""
"Maninagar","railway",22.99866,72.611401,""
"Sabarmati","railway",23.077071,72.589068,""
"Nandol Dahegam","railway",23.17343,72.816157,""
"Asarva","railway",23.044093,72.613216,""
"Sardargram","railway",23.071501,72.642439,""
"Dabhoda","railway",23.164716,72.743577,""
"Kalol Junction","railway",23.243668,72.503355,""
"Kali Road","railway",23.09809,72.578089,""
"Bavla","railway",22.833587,72.364745,""
"Sarkhej","railway",22.982102,72.497519,""
"Kadi","railway",23.29248,72.32669,""
"Mahemadavad Kheda Road","railway",22.81917,72.752471,""
"Nenpur","railway",22.84494,72.726751,""
"Ambli Road","railway",23.053531,72.493409,""
"Gandhinagar Capital","railway",23.23484,72.630329,""
"Ahmedabad Junction","railway",23.026331,72.601,""
"Adraj Moti","railway",23.258206,72.565157,""
"Kolvada","railway",23.271211,72.612172,""
"Khodiyar Junction","railway",23.155921,72.5483,""
"Vatva","railway",22.958998,72.629798,""
"Sabarmati Junction","railway",23.07126,72.587027,""
"Barejadi Nandej","railway",22.895396,72.677106,""
"Kanij","railway",22.865908,72.705585,""
"Geratpur","railway",22.916857,72.655184,""
"Chandlodiya","railway",23.075163,72.544036,""
"Gora Ghuma","railway",23.038673,72.451731,""
"Sanand","railway",23.023888,72.385148,""
"Chharodi","railway",23.039346,72.274893,""
"Saij Sertha Road","railway",23.209181,72.520673,""
"Tintoda","railway",23.2478,72.547507,""
"Randheja","railway",23.29712,72.633814,""
"Chhatral","railway",23.267146,72.449761,""
"Anakhol","railway",23.276458,72.410083,""
"Karan Nagar","railway",23.281381,72.386515,""
"Vasan Iyava","railway",23.025267,72.336341,""
"Chandlodiya 'B'","railway",23.080798,72.540818,""
"Sanathal","railway",22.964519,72.470411,""
"Moraiya","railway",22.930651,72.4408,""
"Matoda","railway",22.883817,72.399558,""
"Saljida","railway",22.784786,72.397735,""
"Chandkheda Road","railway",23.110334,72.563771,""
"Sardar Vallabhbhai Patel International Airport","airport",23.075883,72.631209,""
