"name","type","lat","lon","color"
"BANDA BUS STAND","bus",15.81894,73.86246,""
"Paolo bus station","bus",15.289314,73.954323,""
"Old Bus Stand","bus",15.274182,73.957257,""
"Colva Beach","bus",15.276286,73.914571,""
"Форт Кабо де Рама","bus",15.088956,73.922196,""
"Отель Гена","bus",15.180995,73.952897,""
"Тупик","bus",15.1477,73.950659,""
"Наша Кармона","bus",15.206696,73.950486,""
"Kadamba Bus Stand","bus",15.850342,74.508401,""
"Badem Bus Stand","bus",15.608165,73.749933,""
"Bare Last Stop","bus",14.819251,74.488549,""
"Karwar Bus stand","bus",14.805652,74.12799,""
"Belgavi Railway Station Bus Sand","bus",15.850085,74.508399,""
"Panjim KTC Bus Stand","bus",15.495417,73.836704,""
"RR Bus Station","bus",15.862851,74.525605,""
"Belguam City Bus Station","bus",15.862755,74.521396,""
"Canacona","bus",15.008456,74.044062,""
"Margao KTC Bus Stand","bus",15.287814,73.956116,""
"Belgavi KSRTC Central Bus Stand","bus",15.861422,74.520413,""
"KTC Valpoi Bus Station","bus",15.532875,74.141502,""
"Sanguem Bus Stand","bus",15.228008,74.151736,""
"curchorem bus stand","bus",15.261203,74.106616,""
"Ponda Bus Station","bus",15.406458,73.997414,""
"Marcela Bus Stand","bus",15.515885,73.961399,""
"Mapusa KTC Bus Stand","bus",15.589109,73.810071,""
"Panjim Private Bus Stand","bus",15.494451,73.836252,""
"New Mapusa Bus Stand","bus",15.588143,73.809262,""
"Vasco KTC Bus Stand","bus",15.400157,73.820885,""
"Ramanagara Bus Stand","bus",15.423389,74.491611,""
"City Bus Stand","bus",15.86167,74.521512,""
"Sankhali KTC Bus Stand","bus",15.56118,74.00996,""
"Bicholim Bus Stand","bus",15.588428,73.949775,""
"Vasco Market Bus Stand","bus",15.39848,73.811094,""
"Cuncolim","bus",15.182355,73.997245,""
"Calangute Beach","bus",15.546036,73.758628,""
"Chapora Jetty Bus Stand","bus",15.606669,73.739558,""
"Assonora Bus Stand","bus",15.618848,73.901281,""
"Honda Bus Stand","bus",15.546053,74.052103,""
"GOX Mopa Airport","bus",15.730761,73.869595,""
"Pernem KTC Bus Stand","bus",15.716354,73.798981,""
"Vengurla Bus Stand","bus",15.855889,73.63279,""
"Sawantwadi Bus Stand","bus",15.909931,73.821991,""
"Caranzol","railway",15.360373,74.306105,""
"Dudhsagar","railway",15.31653,74.306362,""
"Karwar","railway",14.820248,74.182591,""
"Karmali","railway",15.490454,73.924552,""
"Belagavi","railway",15.849057,74.508943,""
"Londa Junction","railway",15.448949,74.495498,""
"Khanapur","railway",15.637775,74.499703,""
"Asnoti","railway",14.87629,74.147593,""
"Castle Rock","railway",15.398753,74.333893,""
"Sawantwadi Road","railway",15.866463,73.785083,""
"Sanvordem Curchorem","railway",15.264103,74.108541,""
"Chandar Goa","railway",15.264771,74.047636,""
"Sonalium","railway",15.30957,74.298593,""
"Desur","railway",15.752854,74.498563,""
"Pernem","railway",15.708996,73.81676,""
"Kalem","railway",15.291982,74.184418,""
"Canacona","railway",15.006842,74.039489,""
"Kulem","railway",15.33416,74.244595,""
"Thivim","railway",15.629878,73.877045,""
"Balli","railway",15.151774,74.021181,""
"Zarap","railway",15.948357,73.734153,""
"Cansaulim","railway",15.344917,73.897565,""
"Tinai Ghat","railway",15.448667,74.402411,""
"Verna","railway",15.353851,73.912494,""
"Shivathan","railway",15.478081,74.522768,""
"Gunji","railway",15.543751,74.480352,""
"Sanjuje-Da-Areyal","railway",15.265675,74.0108,""
"Majorda Junction","railway",15.313792,73.921935,""
"Sankaval","railway",15.371032,73.868582,""
"Loliem","railway",14.939513,74.087994,""
"Dabolim","railway",15.387177,73.851524,""
"Goa International Airport","airport",15.380586,73.832657,""
"Manohar International Airport","airport",15.736722,73.862494,""
