"name","type","lat","lon","color"
"City Bus Stand","bus",15.460688,75.011676,""
"Bus Station","bus",15.451994,75.301205,""
"City Bus Terminus","bus",15.344683,75.145329,""
"Hubli Railway Station","bus",15.352323,75.145596,""
"Old Bus Station","bus",15.350369,75.136165,""
"Dharwad New NWKRTC Bus Station","bus",15.469373,74.993112,""
"Central Bus Terminus","bus",15.344637,75.145415,""
"VRL IT Park Bus stand","bus",15.353082,75.132679,""
"Kalaghatgi KSRTC Bus Stand","bus",15.18057,74.972026,""
"Dharwad Old Bus Stand","bus",15.459601,75.010792,""
"Hebsur Bus Stop","bus",15.45201,75.301236,""
"Kundgol Bus Stand","bus",15.260241,75.244364,""
"Hosur Interchange Terminal","bus",15.355849,75.127585,""
"VRL Basava Vana Bus Stand","bus",15.353162,75.13547,""
"ISKON BRT Station","bus",15.404742,75.070007,""
"RTO BRT Station","bus",15.400625,75.077294,""
"Rayapur BRT Station","bus",15.406712,75.065026,""
"KMF1 BRT Station","bus",15.409349,75.060749,""
"Navalur Railway BRT Station","bus",15.415155,75.053843,""
"Navanagar BRT Station","bus",15.39715,75.082543,""
"APMC BRT Station","bus",15.393669,75.092154,""
"Shantinikethan BRT Station","bus",15.391352,75.098157,""
"Bairidevarakoppa BRT Station","bus",15.387034,75.105381,""
"Unkal Lake BRT Station","bus",15.382329,75.11188,""
"Vidyanagar BRT Station","bus",15.364002,75.124867,""
"Hosur Circle BRT Station","bus",15.354759,75.130456,""
"Hosur Interchange BRT Station","bus",15.357265,75.128937,""
"KIMS BRT Station","bus",15.36021,75.12715,""
"BVB College BRT Station","bus",15.367615,75.121185,""
"Unakal Cross BRT Station","bus",15.370132,75.118875,""
"SDM Hospital BRT Station","bus",15.417388,75.047967,""
"Sattur BRT Station","bus",15.418304,75.042541,""
"Unkal Village BRT Station","bus",15.375645,75.114143,""
"Dharwad BRTS Terminal","bus",15.46016,75.009428,""
"Jubilee Circle BRT Station","bus",15.458058,75.007491,""
"Court Circle BRT Station","bus",15.455642,75.007025,""
"NTTF BRT Station","bus",15.453608,75.00913,""
"Hosa Yallapura BRT Station","bus",15.449703,75.011221,""
"Toll Naka BRT Station","bus",15.446085,75.012697,""
"Vidyagiri BRT Station","bus",15.44085,75.016861,""
"Gandhinagar BRT Station","bus",15.437785,75.019192,""
"Lakamanahalli BRT Station","bus",15.432911,75.024929,""
"HDBRTS Hubballi Depot","bus",15.349077,75.11809,""
"Hubballi Railway BRT Station","bus",15.349537,75.14845,""
"Hubli OCBS BRT Station","bus",15.351148,75.13626,""
"HDMC BRT Station","bus",15.350859,75.140701,""
"Dr.Ambedkar BRT Station","bus",15.352889,75.145388,""
"New Bus Station","bus",15.349302,75.116417,""
"Kundgol","railway",15.258883,75.250045,""
"Dharwad","railway",15.442435,75.001935,""
"Navalur","railway",15.41521,75.056203,""
"Mugad","railway",15.447667,74.904936,""
"Kusugal","railway",15.372163,75.228505,""
"Hebsur","railway",15.423216,75.285918,""
"Saunshi","railway",15.203351,75.300579,""
"Hubballi South","railway",15.333222,75.175436,""
"Unkal","railway",15.37413,75.124672,""
"Amargol","railway",15.411329,75.098174,""
"Kyarakoppa","railway",15.455126,74.955821,""
"Hubballi","railway",15.350058,75.149476,""
"Hubballi Airport","airport",15.360474,75.07798,""
